category,jour,qty,val
Big bag,30/06/2025,290,0
Big bag,30/09/2025,862,0
Big bag,30/10/2025,265,0
Big bag,30/11/2025,166,0
Big bag,31/05/2025,416,0
Big bag,31/12/2025,664,0
Couscous,01/01/2023,840,7865944.799999997
Couscous,01/01/2024,1110,9331354.8
Couscous,01/01/2025,504,4694366.879999999
Couscous,01/01/2026,420,3911972.3999999994
Couscous,01/02/2021,672,5741286.36
Couscous,01/02/2022,220,1877066.4000000001
Couscous,01/02/2023,648,5552454.959999999
Couscous,01/02/2024,540,5029678.799999999
Couscous,01/02/2025,1236,11512375.919999998
Couscous,01/02/2026,1032,9612275.039999995
Couscous,01/03/2021,1260,11724773.76
Couscous,01/03/2022,824,5521284.32
Couscous,01/03/2023,930,8279091.600000001
Couscous,01/03/2025,1572,14641953.839999992
Couscous,01/03/2026,1212,11288834.639999997
Couscous,01/04/2021,1531,13303674.09
Couscous,01/04/2023,2154,18796430.879999995
Couscous,01/04/2024,1796,14414982.72
Couscous,01/04/2026,1092,10171128.239999998
Couscous,01/05/2021,2690,18607140.56
Couscous,01/05/2022,1350,9845197.2
Couscous,01/05/2023,1632,13174568.64
Couscous,01/05/2024,1136,9386963.519999994
Couscous,01/05/2025,600,5588532
Couscous,01/06/2021,504,4508698.56
Couscous,01/06/2022,1364.56,13425398.692
Couscous,01/06/2023,904,7800926.4799999995
Couscous,01/06/2024,1536,12963402.719999995
Couscous,01/06/2025,1536,14306641.919999998
Couscous,01/06/2026,1020,9500504.399999999
Couscous,01/07/2021,606,5981698.32
Couscous,01/07/2023,756,7041550.319999998
Couscous,01/07/2024,1024,9164639.279999997
Couscous,01/07/2025,900,8382797.999999998
Couscous,01/07/2026,798,6873064.559999999
Couscous,01/08/2021,736,7489509.6
Couscous,01/08/2022,276,2860524.7199999997
Couscous,01/08/2023,1062,9406643.04
Couscous,01/08/2024,970,8848232.399999999
Couscous,01/08/2026,900,8382797.999999998
Couscous,01/09/2021,1204,13236527.04
Couscous,01/09/2022,996,9486057.119999997
Couscous,01/09/2024,1058,9667883.759999994
Couscous,01/09/2025,984,9165192.479999997
Couscous,01/09/2026,1188,11065293.36
Couscous,01/10/2022,1416,13259735.52
Couscous,01/10/2023,720,6706238.399999999
Couscous,01/10/2024,2402,18828097.44000002
Couscous,01/10/2025,1008,9388733.759999998
Couscous,01/11/2021,822,7696439.1
Couscous,01/11/2022,240,2247412.8
Couscous,01/11/2023,966,8437853.519999998
Couscous,01/11/2025,804,7488632.879999996
Couscous,01/12/2021,860,8551838.720000003
Couscous,01/12/2022,720,6742238.399999998
Couscous,01/12/2024,793.8,7393627.835999999
Couscous,01/12/2025,720,6706238.399999997
Couscous,02/01/2021,806,8540367.92
Couscous,02/01/2022,312,4095414.96
Couscous,02/01/2023,696,6173790.719999998
Couscous,02/01/2024,1044,8828552.879999999
Couscous,02/01/2025,528,4917908.16
Couscous,02/02/2021,1414.4,13166975.579999998
Couscous,02/02/2022,240,2047708.8000000003
Couscous,02/02/2023,1274,10755686.079999996
Couscous,02/02/2025,1044,9724045.679999996
Couscous,02/02/2026,966,8437853.519999998
Couscous,02/03/2021,1191.25,10912953.399999999
Couscous,02/03/2022,864,5689999.199999999
Couscous,02/03/2023,1158,10414133.759999998
Couscous,02/03/2024,1834,14358488.879999999
Couscous,02/03/2025,984.84,9173016.4248
Couscous,02/03/2026,1354,11678648.879999999
Couscous,02/04/2022,1716,11636789.52
Couscous,02/04/2023,1544,13936054.959999995
Couscous,02/04/2024,1694,14024615.279999997
Couscous,02/04/2026,1088.6,9393215.891999999
Couscous,02/05/2021,808.96,6763516.43
Couscous,02/05/2023,1488,12171027.360000001
Couscous,02/05/2024,1238,10001204.159999996
Couscous,02/05/2026,924,8606339.279999997
Couscous,02/06/2021,720,6295157.999999999
Couscous,02/06/2022,1079.6,9999971.600000001
Couscous,02/06/2024,1442,11453558.639999999
Couscous,02/06/2025,1152,10729981.439999998
Couscous,02/06/2026,840,7823944.799999997
Couscous,02/07/2022,2496,21559869.120000005
Couscous,02/07/2023,696,6482697.119999999
Couscous,02/07/2024,1168,10058140.559999999
Couscous,02/07/2025,1061,9695826.419999994
Couscous,02/07/2026,276,2570724.7199999997
Couscous,02/08/2021,950,9183209.399999999
Couscous,02/08/2022,432.78,4189240.7315999987
Couscous,02/08/2023,1260,11735917.200000001
Couscous,02/08/2025,1656,15424348.32
Couscous,02/08/2026,1104,10282898.879999997
Couscous,02/09/2021,778,8541600.24
Couscous,02/09/2023,1008,9388733.759999996
Couscous,02/09/2024,924,8606339.279999997
Couscous,02/09/2025,900,8382797.999999998
Couscous,02/09/2026,1092,10171128.239999998
Couscous,02/10/2021,1664,17005370.479999997
Couscous,02/10/2022,1672,13136462.240000002
Couscous,02/10/2023,1128,10506440.159999996
Couscous,02/10/2024,1912,15196934.639999991
Couscous,02/10/2025,1056,9611943.12
Couscous,02/11/2021,1274,11254082.9
Couscous,02/11/2022,540,5056678.799999999
Couscous,02/11/2023,1564,11731712.879999999
Couscous,02/11/2024,1380,12853623.599999994
Couscous,02/11/2025,696,6482697.119999998
Couscous,02/12/2021,612,6277158.72
Couscous,02/12/2023,1676,14192769.12
Couscous,02/12/2024,816,7600403.52
Couscous,02/12/2025,672,6259155.839999997
Couscous,03/01/2021,1054,10417433.080000002
Couscous,03/01/2022,519,6988075.170000001
Couscous,03/01/2023,1298,11324133.760000002
Couscous,03/01/2024,914,8326636.08
Couscous,03/01/2026,552,5141449.439999998
Couscous,03/02/2021,916,7744956.759999999
Couscous,03/02/2022,590,4425052.44
Couscous,03/02/2024,1254,10448729.279999997
Couscous,03/02/2025,996,9276963.119999997
Couscous,03/02/2026,730,6314321.999999997
Couscous,03/03/2021,1186,10462370.279999997
Couscous,03/03/2022,1268,8528499.68
Couscous,03/03/2024,1562,12123518.639999999
Couscous,03/03/2025,1140,10618210.799999997
Couscous,03/03/2026,984.6,9170592.479999997
Couscous,03/04/2021,2346,18328246.919999998
Couscous,03/04/2022,1426,9646848.64
Couscous,03/04/2023,1284,11959458.479999999
Couscous,03/04/2024,1548,13299046.559999997
Couscous,03/04/2025,930,8102541.599999996
Couscous,03/05/2021,1448,12787490.24
Couscous,03/05/2023,1682,14343834.639999997
Couscous,03/05/2025,936,8718109.919999998
Couscous,03/05/2026,876,8159256.720000001
Couscous,03/06/2021,492,4622808.4799999995
Couscous,03/06/2023,1410,11866651.199999996
Couscous,03/06/2024,942,7766565.839999996
Couscous,03/06/2025,1296,12071229.119999997
Couscous,03/06/2026,1188,11065293.359999998
Couscous,03/07/2021,810,7904286
Couscous,03/07/2022,1234.6,10555945.011999998
Couscous,03/07/2023,576,5364990.719999999
Couscous,03/07/2024,732,6818009.039999999
Couscous,03/07/2025,876,8159256.719999997
Couscous,03/08/2021,1006,10017080.639999999
Couscous,03/08/2022,368,3181698.32
Couscous,03/08/2023,764,6593693.279999998
Couscous,03/08/2024,1680,14752396.8
Couscous,03/08/2025,1396,12629529.12
Couscous,03/08/2026,1240,11176510.799999997
Couscous,03/09/2022,2192,20682260.24
Couscous,03/09/2023,940,8382244.799999998
Couscous,03/09/2024,1164,10841752.08
Couscous,03/09/2025,804,7488632.879999999
Couscous,03/09/2026,828,7712174.16
Couscous,03/10/2021,1442,12367188.98
Couscous,03/10/2022,1310,11092797.999999993
Couscous,03/10/2023,1538,13019343.359999998
Couscous,03/10/2024,1820,15310143.599999992
Couscous,03/11/2021,1074.84,11732644.61
Couscous,03/11/2022,600,5618532
Couscous,03/11/2024,1032,9612275.04
Couscous,03/11/2025,660,6147385.199999997
Couscous,03/12/2022,1356,12697882.319999997
Couscous,03/12/2023,1244,9945152.879999997
Couscous,03/12/2024,924,8606339.28
Couscous,03/12/2025,732,6818009.039999998
Couscous,04/01/2021,1686,14281656.479999999
Couscous,04/01/2022,409.4,5462790.98
Couscous,04/01/2023,1398,11974133.759999998
Couscous,04/01/2024,672,6259155.84
Couscous,04/01/2025,998,8885157.359999998
Couscous,04/01/2026,504,4694366.879999999
Couscous,04/02/2021,1148,10089911.24
Couscous,04/02/2023,1590,13600210.799999999
Couscous,04/02/2024,1112,9611168.639999999
Couscous,04/02/2025,1065.28,9921749.529599998
Couscous,04/02/2026,864,8047486.080000001
Couscous,04/03/2021,816,7129873.799999999
Couscous,04/03/2024,1522.6,12129660.371999996
Couscous,04/03/2025,972,9053421.839999998
Couscous,04/03/2026,1020,9500504.399999999
Couscous,04/04/2021,1380,10931454.36
Couscous,04/04/2022,992,6728814.5600000005
Couscous,04/04/2023,1242,10977275.039999995
Couscous,04/04/2024,948,8829880.559999997
Couscous,04/04/2026,1224,11400605.28
Couscous,04/05/2021,1197.3600000000001,9636582.1
Couscous,04/05/2022,1012,7030030.720000001
Couscous,04/05/2023,1272,10328009.039999995
Couscous,04/05/2024,1992,15867447.84
Couscous,04/05/2025,696,6482697.119999999
Couscous,04/05/2026,768,7153320.959999999
Couscous,04/06/2022,1626,15108496.319999995
Couscous,04/06/2023,1046,8757697.120000001
Couscous,04/06/2024,1196,9945816.72
Couscous,04/06/2025,1141.91,10635915.983199999
Couscous,04/06/2026,960,8941651.2
Couscous,04/07/2021,1218,10393242.240000002
Couscous,04/07/2022,882,7693703.04
Couscous,04/07/2023,1002,9248421.84
Couscous,04/07/2024,930,8326414.799999999
Couscous,04/07/2026,1020,9500504.399999999
Couscous,04/08/2021,532,6239526.24
Couscous,04/08/2022,468,3769415.76
Couscous,04/08/2024,1411,12545369.219999997
Couscous,04/08/2025,1332,12406541.039999997
Couscous,04/08/2026,984,9165192.479999997
Couscous,04/09/2021,858,9678264.66
Couscous,04/09/2022,1522.2,13729174.684000002
Couscous,04/09/2023,1344,11175072.48
Couscous,04/09/2024,1104,10282898.880000003
Couscous,04/09/2025,1008,9388733.759999998
Couscous,04/10/2021,868,9722301.280000001
Couscous,04/10/2022,732.8399999999999,5659502.584799999
Couscous,04/10/2023,1044,9724045.679999998
Couscous,04/10/2025,1524,14194871.279999997
Couscous,04/11/2021,380,4671822.8
Couscous,04/11/2023,1236,10840756.319999997
Couscous,04/11/2024,1248,11624146.559999997
Couscous,04/11/2025,1192,10729428.239999996
Couscous,04/12/2021,1082,11567610.98
Couscous,04/12/2022,852,7978315.4399999995
Couscous,04/12/2023,744,6929779.679999997
Couscous,04/12/2024,948.27,8832353.266399998
Couscous,04/12/2025,648,6035614.559999999
Couscous,05/01/2021,734,6619267.76
Couscous,05/01/2022,300,4012845.48
Couscous,05/01/2023,1356,11151203.519999996
Couscous,05/01/2025,759.49,7073993.3928
Couscous,05/01/2026,492,4582596.24
Couscous,05/02/2022,1104,6844800
Couscous,05/02/2023,908,8445427.359999998
Couscous,05/02/2024,1902,14469485.039999995
Couscous,05/02/2025,1104,10282898.879999999
Couscous,05/02/2026,1128.08,9760941.297599997
Couscous,05/03/2022,2088,14037864
Couscous,05/03/2024,1588,12179127.359999996
Couscous,05/03/2025,1071.62,9981167.326399997
Couscous,05/03/2026,972,9053421.839999996
Couscous,05/04/2021,1700,13268024.459999999
Couscous,05/04/2022,1096,7499232.88
Couscous,05/04/2023,1446,13046229.119999994
Couscous,05/04/2025,1176,10953522.719999995
Couscous,05/04/2026,1032,9612275.04
Couscous,05/05/2021,737.8,6401369.3
Couscous,05/05/2024,1466.8,12132244.852
Couscous,05/05/2025,780,7265091.599999997
Couscous,05/05/2026,504,4694366.88
Couscous,05/06/2021,958,7634948.319999999
Couscous,05/06/2022,608,5455889.840000002
Couscous,05/06/2023,1364,11635192.48
Couscous,05/06/2024,1428,11733593.759999998
Couscous,05/06/2025,492,4582596.24
Couscous,05/07/2021,770,7956854.36
Couscous,05/07/2023,696,6482697.119999999
Couscous,05/07/2025,1044,9724045.679999996
Couscous,05/07/2026,804,7488632.879999998
Couscous,05/08/2021,360,4299084
Couscous,05/08/2023,1222,10449171.839999998
Couscous,05/08/2024,1408,12293553.359999994
